po_ref,vendor_name,product_reference,order_date,difot_date,order_qty,received_qty_before_difot,line_difot_score
PO06130,Micro Fasteners Pty Ltd,1007618-001,2021-10-04 23:51:23,2021-10-11 23:51:23,500.0,0.0,0.0
PO06130,Micro Fasteners Pty Ltd,1007803-001,2021-10-04 23:51:23,2021-11-08 23:51:23,500.0,500.0,1.0
PO06130,Micro Fasteners Pty Ltd,1007742-001,2021-10-04 23:51:23,2021-11-08 23:51:23,500.0,500.0,1.0
PO06130,Micro Fasteners Pty Ltd,1008363-001,2021-10-04 23:51:23,2021-11-08 23:51:23,500.0,500.0,1.0
PO04574,Grand Venture Technology,1002347-003,2020-12-17 23:12:04,2021-01-28 23:12:04,20.0,20.0,1.0
PO04574,Grand Venture Technology,1002272-008,2020-12-17 23:12:04,2021-01-28 23:12:04,35.0,8.0,0.22857142857142856
PO04574,Grand Venture Technology,1002345-006,2020-12-17 23:12:04,2021-01-28 23:12:04,20.0,20.0,1.0
PO04574,Grand Venture Technology,1001476-002,2020-12-17 23:12:04,2021-01-21 23:12:04,20.0,20.0,1.0
PO04574,Grand Venture Technology,1001477-001,2020-12-17 23:12:04,2021-01-21 23:12:04,20.0,20.0,1.0
PO04542,Micro Fasteners Pty Ltd,1002218-001,2020-12-11 08:33:00,2021-01-01 08:33:00,1000.0,1000.0,1.0
PO04052,K-One Industry Sdn Bhd,1001320-003,2020-07-09 01:48:51,2020-08-13 01:48:51,100.0,100.0,1.0
PO04287,Grand Venture Technology,1006350-001,2020-10-08 22:22:17,2020-11-19 22:22:17,10.0,10.0,1.0
PO04287,Grand Venture Technology,1006347-001,2020-10-08 22:22:17,2020-11-12 22:22:17,10.0,5.0,0.5
PO04287,Grand Venture Technology,1006347-002,2020-10-08 22:22:17,2020-11-19 22:22:17,10.0,10.0,1.0
PO04287,Grand Venture Technology,1006351-001,2020-10-08 22:22:17,2020-11-19 22:22:17,10.0,10.0,1.0
PO05764,Open Wiring Systems,1006328-001,2021-07-30 05:40:46,2021-08-27 05:40:46,10.0,10.0,1.0
PO05478,Fujian Hitronics Technologies Inc,1001344-003,2021-06-21 06:29:51,2021-08-02 06:29:51,50.0,6.0,0.12
PO05925,SHANGHAI WAIZONGFU INTERNATIONAL TRADE CO LTD,1007716-001,2021-09-01 23:40:21,2021-10-06 23:40:21,1.0,0.0,0.0
PO06837,IRS,60500,2022-01-18 23:27:45,2022-01-25 23:27:45,1.0,2.0,0.0
PO05793,UTS ProtoSpace,1007056-001,2021-08-05 23:26:24,2021-09-09 23:26:24,10.0,10.0,1.0
PO06792,IRS,60500,2022-01-10 22:25:12,2022-01-17 22:25:12,1.0,5.0,1.0
PO04299,SAMTEC ASIA PACIFIC PTE LTD,1007042-001,2020-10-12 04:59:52,2020-11-16 04:59:52,30.0,30.0,1.0
PO06136,"DJ MODEL & TOOLING CO.,LIMITED",1007745-004,2021-10-05 04:50:38,2021-10-12 04:50:38,10.0,10.0,1.0
PO06136,"DJ MODEL & TOOLING CO.,LIMITED",1007744-004,2021-10-05 04:50:38,2021-10-12 04:50:38,10.0,10.0,1.0
PO06954,Bunnings Group Limited,23250,2022-02-09 05:02:35,2022-02-16 05:02:35,50.0,50.0,1.0
PO06954,Bunnings Group Limited,24015,2022-02-09 05:02:35,2022-03-16 05:02:35,1.0,1.0,1.0
PO06958,RS Components Pty Ltd,29000,2022-02-09 22:16:23,2022-02-16 22:16:23,1.0,5.0,1.0
PO06958,RS Components Pty Ltd,24015,2022-02-09 22:16:23,2022-02-16 22:16:23,1.0,1.0,1.0
PO04424,Element14 Pty Ltd,1007200-001,2020-11-17 03:00:56,2020-12-22 03:00:56,2.0,2.0,1.0
PO04548,Automotion Components Ltd,1005209-001,2020-12-14 22:44:24,2021-01-18 22:44:24,500.0,237.0,0.474
PO04379,SHANGHAI WAIZONGFU INTERNATIONAL TRADE CO LTD,1003848-001,2020-11-02 04:24:47,2020-12-14 04:24:47,10.0,0.0,0.0
PO04611,Shenyang Ebetter Optics,1003716-002,2020-12-27 23:05:16,2021-01-31 23:05:16,10.0,8.0,0.8
PO07140,Element14 Pty Ltd,1008643-001,2022-03-23 00:06:00,2022-03-30 00:06:00,5.0,5.0,1.0
PO04764,Grand Venture Technology,1005764-001,2021-02-02 04:30:19,2021-03-16 04:30:19,30.0,30.0,1.0
PO04764,Grand Venture Technology,1002345-006,2021-02-02 04:30:19,2021-03-16 04:30:19,40.0,40.0,1.0
PO04764,Grand Venture Technology,1002347-003,2021-02-02 04:30:19,2021-03-16 04:30:19,40.0,40.0,1.0
PO04385,Open Wiring Systems,1007164-001,2020-11-03 05:42:06,2020-12-01 05:42:06,10.0,10.0,1.0
PO04385,Open Wiring Systems,1007165-001,2020-11-03 05:42:06,2020-11-24 05:42:06,20.0,20.0,1.0
PO04385,Open Wiring Systems,1007058-001,2020-11-03 05:42:06,2020-11-24 05:42:06,2.0,2.0,1.0
PO04385,Open Wiring Systems,1007166-001,2020-11-03 05:42:06,2020-11-24 05:42:06,0.0,0.0,0.0
PO04385,Open Wiring Systems,1007167-001,2020-11-03 05:42:06,2020-12-08 05:42:06,0.0,0.0,0.0
PO06483,Open Wiring Systems,1008177-001,2021-11-18 03:20:47,2021-11-30 03:20:47,0.0,2.0,0.0
